Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
2237;;2008-06-09;;25;Renewable for another 25 years
2241;;;;50;In 2 periods of 25 years
2271;;;;50;
2283;;;;25;
2293;;;;30;
2309;;2010;;99;
2371;;2011-03-01;;50;Four concessions: 2011/2012/2013/2014. The initial lease is renewable for a term of 25 years
2385;;2009-08;;25;authorized for a period of 25 (twenty-five) years renewable for equal periods 200of 10 (ten) years under conditions to be set at each renewal period.
2398;;2005-10-01;;99;
2401;;;;99;
3003;;;;49;
3008;;2003-04;2033-04;30;
3022;;;;50;ProCana was looking at a 50 year lease. MAI had a 50 year DUATs.
3029;;;;49;
3030;;;;5;
3041;;;;50;
3107;;;;;See the Appendix of Source 14 for more details on the land transactions
3164;;;;99;
3170;;;;30;
3175;;;;25;
3179;;2007-02-01;2047-02-01;40;
3200;;;;3;
3341;;;;50;
3342;;;;50;
3370;395/2009;2009-11-20;;;Location  Permit:  Licence  area  for  oil  palm plantations covering an area of 17,500 ha through the Regent Decree of Sanggau No: 395, 2009.Plantation  Operational  License (IUP)  through  the Regent  Decree  of  Sanggau  No.277  dated  7th  July 2010
3378;;;;50;
3379;;2005-07-26;;50;
3380;;;;50;
3382;;;;50;
3389;;2008;;50;Additional concessions signed in 2010 and 2012. The lease is renewable.
3398;;;;50;Two concessions with two different chiefs.
3399;;;;50;
3402;;;;;In 2014, Irregularities of the company PT Berkat Nabati Sawit (PT BNS) were - No NPP published, no proper review of time-bound plan by Certification Body, land clearing wit hout Plant at ion Business Permit / Ijin Usaha Perkebunan (IUP) and Locat ion Permit / Ijin Lokasi in 2009, fraudulent statement on activity on the ground issued to Provincial authority in 2009, no concession boundary filed in ACOP 2013-2014, encroachment in Manis Mata Production Forest (present), local media report report alleges encroachment outside IUP boundary (September 2014).
3403;;;;50;
3404;;2009-05-18;;;Date of allocation by the Ghana Forestry Commission for the first section of 5,002ha
3404;;2012-11-21;;;Allocation date of Forestry Commission for second concession of 1,536ha
3407;;2010-04-09;;70;
3413;;2010-05-05;;70;
3414;;2010-01-29;;70;
3419;;2010-05-05;;70;
3420;;2010-01-29;;70;
3421;;2011-06-15;;;
3422;;2011-06-15;;;
3425;;2011-09-30;;25;
3429;No.30/2010;2010-09-27;;50;a 50-year lease (with an option to renew for a further 21 years)
3433;;;;50;
3447;;;;25;
3449;FMC-002;2008-10-06;2033-10-05;25;Another source claims the contract date was 2009-05-27
3450;FMC-005;2009-09-17;2034-09-16;25;
3451;FMC-007;2009-09-17;2034-09-16;25;
3459;;2011-09-09;;50;The data shows that the contract date was made last September 09, 2011. The June 16, 2011 date was for the Sub-decree reclassifying land use.
3462;;2011-06-15;;;
3470;;2010-05-05;;70;
3472;;2011-01-06;;;
3474;;2010-11-30;;;
3475;;2010-01-29;;70;
3476;;2011-08-17;;;
3478;;2011-03-14;;;
3479;;2010-04-09;;70;As of May 3, 2016, the duration of the agreement in years was 50 years.
3480;;;;90;
3484;;2011-01-06;;;
3496;;2011-03-21;;;
3497;No. 551.31 / 2311 / Disbun- C;2003-10-31;;30;
3497;HSL No. 143/HGU/BPN/97/A/106;;;;
3500;;2011-03-11;;;
3502;;2010-05-05;;70;
3503;;2011-01-08;;;
3505;;2011-09-07;;99;
3506;81/hgu/bpnri/2005;2005-07-04;2040-09-24;;Expiration of lease (24-09-2040)
3508;;2010-12-30;;;
3510;;2010-12-30;;;
3521;;2012-08-03;;70;
3522;;2012-08-03;;70;
3524;;2012-08-03;;70;
3525;;2011-07-06;;;
3526;;2011-11-08;;70;
3527;;2011-10-05;;;
3532;;2012-04-18;;90;
3533;;2011-07-06;;;
3534;;2011-07-06;;70;
3535;;2012-05-18;;;
3553;;2012-02-24;;;
3554;;2011-05-30;;;
3558;213.460.42/bpn;2005-02-28;;;
3560;IUP No. 525.26/418/VIII/ EK.SDA/2010;2010-08-01;;;IUP No. 525.26/418/VIII/ EK.SDA/2010, Agustus 2010, covers an area of11.803,95 ha
3560;IUP  No. 525.26/272/VI/EK-SDA/2010;2010-06-01;;;IUP for Additional Area No.525.26/272/VI/EK-SDA/2010 covers an area 4.132,5 ha
3562;844.460.42/bpn;2004-12-27;;;
3563;;2010-09-24;;99;Notice of Direct Grant says that the grant as a Special Agriculture and Business Lease to for instance, Tosigiba or to NEWIL is for 99 years but the land investigation report says that the customary landowners only are willing to free up their land for SABL purposes for only 25 years and not 99 years.
3565;;2011-07-22;;99;
3566;;2010-01-08;;;
3567;SK Bupati  SintangNo.445;2008-06-01;;;
3569;SK Kepala BPN No.159/HGU/BPN RI/2014;2014-01-01;;;
3570;;2010-01-29;;;
3571;;2010-01-29;;50;
3575;107/PEM/2005;2005-04-27;;;The location permit (Izin Lokasi) for PT SISM was approved by Regent Decree of Ketapang No: 107/PEM/2005 dated 27th April 2005. The Plantation Operational Permit (Izin Usaha Perkebunan/IUP) was approved by Regent of Ketapang No.551.31/0633/ Disbun-C/2005 dated 1st April 2005.
3581;;;;;The lease of Cahaya Pelita Andhaka runs to 2029, when it should be renewable for between a further 25 and 55 years.
3586;;2006-12-27;2105-12-27;99;with option to extend to another 99 years once the initial 99 years has lapsed
3587;;;;99;
3590;;2006-07-20;;99;
