Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1991N,Y1992,Y1992F,Y1992N,Y1993,Y1993F,Y1993N,Y1994,Y1994F,Y1994N,Y1995,Y1995F,Y1995N,Y1996,Y1996F,Y1996N,Y1997,Y1997F,Y1997N,Y1998,Y1998F,Y1998N,Y1999,Y1999F,Y1999N,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N
"159","Nigeria","23085","Total FDI outflows","6184","Value US$, 2015 prices","millions","1065.725341","Fc","Calculated","801.284026","Fc","Calculated","1477.919981","Fc","Calculated","1029.337046","Fc","Calculated","589.047924","Fc","Calculated","1801.505495","Fc","Calculated","305.368855","Fc","Calculated","465.687923","Fc","Calculated","499.578260","Fc","Calculated","438.451714","Fc","Calculated","242.105830","Fc","Calculated","397.389602","Fc","Calculated","376.948407","Fc","Calculated","493.676695","Fc","Calculated","22.812988","Fc","Calculated","398.131321","Fc","Calculated","986.328455","Fc","Calculated","1041.579989","Fc","Calculated","1893.349193","Fc","Calculated","982.939379","Fc","Calculated","818.131521","Fc","Calculated","1426.660270","Fc","Calculated","1089.086925","Fc","Calculated","1368.115752","Fc","Calculated","1435.203637","Fc","Calculated","403.392693","Fc","Calculated","405.774693","Fc","Calculated","670.402657","Fc","Calculated","307.243099","Fc","Calculated",,,
"154","North Macedonia","23080","FDI inflows to Agriculture, Forestry and Fishing","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,"0.100000","X","UNCTAD",,,,,,,"2.300000","X","UNCTAD","0.400000","X","UNCTAD","1.800000","X","UNCTAD","10.600000","X","UNCTAD","-1.000000","X","UNCTAD","2.700000","X","INTRACEN","14.500000","X","INTRACEN",,,,,,,"1.300000","X","INTRACEN","4.200000","X","INTRACEN","3.900000","X","INTRACEN",,,,,,,,,,"1.770000","X","INTRACEN","-3.280000","X","INTRACEN",,,,,,,,,
"154","North Macedonia","23080","FDI inflows to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,"0.161964","Fc","Calculated",,,,,,,"3.998540","Fc","Calculated","0.651564","Fc","Calculated","2.434920","Fc","Calculated","13.064001","Fc","Calculated","-1.171925","Fc","Calculated","3.034560","Fc","Calculated","14.281071","Fc","Calculated",,,,,,,"1.232484","Fc","Calculated","3.652809","Fc","Calculated","3.636059","Fc","Calculated",,,,,,,,,,"1.716713","Fc","Calculated","-3.035182","Fc","Calculated",,,,,,,,,
"154","North Macedonia","23080","FDI inflows to Agriculture, Forestry and Fishing","6141","Share of Total FDI inflows US$","%",,,,,,,,,,,,,,,,,,,,,,"0.066453","Fc","Calculated",,,,,,,"0.514389","Fc","Calculated",,,,"1.588333","Fc","Calculated","3.274947","Fc","Calculated","-1.041431","Fc","Calculated","0.624166","Fc","Calculated","2.093833","Fc","Calculated",,,,,,,"0.611685","Fc","Calculated","0.877249","Fc","Calculated","2.729102","Fc","Calculated",,,,,,,,,,"0.472499","Fc","Calculated","-1.597958","Fc","Calculated",,,,,,,,,
"154","North Macedonia","23081","FDI inflows to Food, Beverages and Tobacco","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,"2.400000","X","UNCTAD","35.700001","X","UNCTAD","7.900000","X","UNCTAD","8.300000","X","UNCTAD","15.400000","X","UNCTAD","6.600000","X","UNCTAD","11.500000","X","UNCTAD","9.200000","X","UNCTAD","13.000000","X","UNCTAD","6.800000","X","INTRACEN","31.600000","X","INTRACEN",,,,,,,"18.600000","X","INTRACEN","66.800003","X","INTRACEN","-28.299999","X","INTRACEN",,,,,,,,,,"3.210000","X","INTRACEN","-21.240000","X","INTRACEN",,,,,,,,,
"154","North Macedonia","23081","FDI inflows to Food, Beverages and Tobacco","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,"3.618556","Fc","Calculated","57.820977","Fc","Calculated","13.012083","Fc","Calculated","14.636693","Fc","Calculated","26.772831","Fc","Calculated","10.750814","Fc","Calculated","15.556433","Fc","Calculated","11.338567","Fc","Calculated","15.235024","Fc","Calculated","7.642596","Fc","Calculated","31.122886","Fc","Calculated",,,,,,,"17.634009","Fc","Calculated","58.097063","Fc","Calculated","-26.384731","Fc","Calculated",,,,,,,,,,"3.113361","Fc","Calculated","-19.654655","Fc","Calculated",,,,,,,,,
"154","North Macedonia","23081","FDI inflows to Food, Beverages and Tobacco","6141","Share of Total FDI inflows US$","%",,,,,,,,,,,,,,,,,,,"4.133773","Fc","Calculated","23.723755","Fc","Calculated","8.936029","Fc","Calculated","3.859449","Fc","Calculated","3.444173","Fc","Calculated",,,,"10.147684","Fc","Calculated","2.842407","Fc","Calculated","13.538601","Fc","Calculated","1.571974","Fc","Calculated","4.563112","Fc","Calculated",,,,,,,"8.751797","Fc","Calculated","13.952429","Fc","Calculated","-19.803480","Fc","Calculated",,,,,,,,,,"0.856904","Fc","Calculated","-10.347749","Fc","Calculated",,,,,,,,,
"154","North Macedonia","23082","Total FDI inflows","6110","Value US$","millions",,,,,,,,,,"24.000000","X","UNCTAD","9.490000","X","UNCTAD","11.210000","X","UNCTAD","58.058346","X","UNCTAD","150.482086","X","UNCTAD","88.406156","X","UNCTAD","215.056600","X","UNCTAD","447.132000","X","UNCTAD",,,,"113.326351","X","UNCTAD","323.669392","X","UNCTAD","96.021738","X","UNCTAD","432.577173","X","UNCTAD","692.509834","X","UNCTAD","585.769217","X","UNCTAD","201.395341","X","UNCTAD","212.527787","X","UNCTAD","478.769689","X","UNCTAD","142.904171","X","UNCTAD","334.955840","X","UNCTAD","272.533312","X","UNCTAD","240.451570","X","UNCTAD","374.604282","X","UNCTAD","205.262028","X","UNCTAD","725.202830","X","UNCTAD","446.402152","X","UNCTAD","273.927194","X","UNCTAD"
"154","North Macedonia","23082","Total FDI inflows","6184","Value US$, 2015 prices","millions",,,,,,,,,,"39.190840","Fc","Calculated","11.588490","Fc","Calculated","14.045067","Fc","Calculated","87.536406","Fc","Calculated","243.726077","Fc","Calculated","145.613703","Fc","Calculated","379.243054","Fc","Calculated","777.336973","Fc","Calculated",,,,"153.300332","Fc","Calculated","398.907298","Fc","Calculated","112.530265","Fc","Calculated","486.178334","Fc","Calculated","682.053947","Fc","Calculated","511.897315","Fc","Calculated","184.839286","Fc","Calculated","201.490157","Fc","Calculated","416.393885","Fc","Calculated","133.232802","Fc","Calculated","289.553804","Fc","Calculated","232.443740","Fc","Calculated","240.451570","Fc","Calculated","363.326623","Fc","Calculated","189.941358","Fc","Calculated","617.183392","Fc","Calculated","391.354261","Fc","Calculated",,,
"154","North Macedonia","23083","FDI outflows to Agriculture, Forestry and Fishing","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.110000","X","INTRACEN",,,,,,,,,,,,
